number,value,datetime_start,datetime_complete,duration,params_conf,params_match_thresh,params_min-box-area,params_nms,params_track_buffer,params_track_thresh,state
14,0.5143981398676445,2025-01-27 13:22:57.906094,2025-01-27 13:25:18.278779,0 days 00:02:20.372685,0.3922124379424974,0.3686618695025611,100,0.3423836588299043,30,0.7626922757236253,COMPLETE
15,0.5143981398676445,2025-01-27 13:25:18.279468,2025-01-27 13:27:39.284069,0 days 00:02:21.004601,0.2213856134752597,0.649475618963778,100,0.5410626757992971,60,0.2936671498517788,COMPLETE
16,0.5143981398676445,2025-01-27 13:27:39.284761,2025-01-27 13:29:59.958107,0 days 00:02:20.673346,0.4128927264938537,0.7607356530171847,150,0.47001199970153246,300,0.48418016948183207,COMPLETE
17,0.5143981398676445,2025-01-27 13:29:59.958806,2025-01-27 13:32:21.335540,0 days 00:02:21.376734,0.2001735471156017,0.5224755160485332,100,0.2347621696432125,600,0.23386222017656594,COMPLETE
18,0.5143981398676445,2025-01-27 13:32:21.336212,2025-01-27 13:34:44.851332,0 days 00:02:23.515120,0.1813914757207242,0.13493764439189143,100,0.19112844099534188,300,0.4036965897245254,COMPLETE
19,0.5143981398676445,2025-01-27 13:34:44.852046,2025-01-27 13:37:06.621050,0 days 00:02:21.769004,0.31790379807968155,0.3293897639062886,100,0.3047815918586245,600,0.5792253514081215,COMPLETE
20,0.5143981398676445,2025-01-27 13:37:06.621766,2025-01-27 13:39:27.349342,0 days 00:02:20.727576,0.4393829851252751,0.4710257308151251,150,0.38934306378383643,60,0.43719681401345134,COMPLETE
21,0.5143981398676445,2025-01-27 13:39:27.350031,2025-01-27 13:41:49.044576,0 days 00:02:21.694545,0.7378291192873558,0.1935921795486435,100,0.2044911857712992,120,0.15726267572434285,COMPLETE
22,0.5143981398676445,2025-01-27 13:41:49.045280,2025-01-27 13:44:10.383002,0 days 00:02:21.337722,0.6918724841204957,0.20969860393746814,100,0.10414939381735637,120,0.1875705699986201,COMPLETE
23,0.5143981398676445,2025-01-27 13:44:10.383732,2025-01-27 13:46:32.964774,0 days 00:02:22.581042,0.492049029940219,0.21754554824750308,100,0.29214980315112166,30,0.3243543846787935,COMPLETE
24,0.5143981398676445,2025-01-27 13:46:32.965482,2025-01-27 13:48:54.506231,0 days 00:02:21.540749,0.7907279670144145,0.3017754735369454,100,0.5259907623374018,600,0.21385324445471326,COMPLETE
25,0.5143981398676445,2025-01-27 13:48:54.506944,2025-01-27 13:51:16.650035,0 days 00:02:22.143091,0.6448887609161092,0.17201352923533225,100,0.16673636181654095,120,0.10238127937722455,COMPLETE
26,0.5143981398676445,2025-01-27 13:51:16.650767,2025-01-27 13:53:38.633391,0 days 00:02:21.982624,0.4957493133692042,0.38275310383878064,100,0.2507129049617815,300,0.3452248601055331,COMPLETE
27,0.5143981398676445,2025-01-27 13:53:38.634091,2025-01-27 13:55:59.108794,0 days 00:02:20.474703,0.15295574982689142,0.6204416785251512,100,0.3621018410990068,120,0.734151895867793,COMPLETE
28,0.5143981398676445,2025-01-27 13:55:59.109493,2025-01-27 13:58:19.891769,0 days 00:02:20.782276,0.2604837652568786,0.2584797376957936,150,0.1587069806179534,600,0.7928099268529851,COMPLETE
29,0.5143981398676445,2025-01-27 13:58:19.892478,2025-01-27 14:00:40.394511,0 days 00:02:20.502033,0.6650787328356527,0.8567401713290707,100,0.7051200838027817,30,0.16132636264308403,COMPLETE
30,0.5143981398676445,2025-01-27 14:00:40.395209,2025-01-27 14:03:01.598590,0 days 00:02:21.203381,0.23415691512918785,0.7755842169175585,10,0.4271979256448944,300,0.26593827617466725,COMPLETE
31,0.5143981398676445,2025-01-27 14:03:01.599274,2025-01-27 14:05:21.899918,0 days 00:02:20.300644,0.7865358756183003,0.8085972473372698,10,0.7814628184521357,30,0.6682785903226333,COMPLETE
32,0.5143981398676445,2025-01-27 14:05:21.900628,2025-01-27 14:07:41.835733,0 days 00:02:19.935105,0.8000867660812114,0.7170328696632059,10,0.8319412729044465,30,0.7274468075708788,COMPLETE
33,0.5143981398676445,2025-01-27 14:07:41.836400,2025-01-27 14:10:01.123414,0 days 00:02:19.287014,0.6253659138135172,0.8261075182024554,10,0.8908540210591903,30,0.8211249679801171,COMPLETE
34,0.5143981398676445,2025-01-27 14:10:01.124119,2025-01-27 14:12:21.298725,0 days 00:02:20.174606,0.7065558613583894,0.7239656777653715,10,0.6099228271241431,120,0.6140668480132992,COMPLETE
35,0.5143981398676445,2025-01-27 14:12:21.299403,2025-01-27 14:14:42.675099,0 days 00:02:21.375696,0.5485800115459548,0.4301565805103361,10,0.7055922114318977,600,0.5038554536688474,COMPLETE
36,0.5143981398676445,2025-01-27 14:14:42.675779,2025-01-27 14:17:02.092509,0 days 00:02:19.416730,0.8450148302159457,0.6149131178377132,10,0.22670203906160868,30,0.6821103174056979,COMPLETE
